X,Result_COS
-6.283185,1.0000000007
-6.233185,0.9987502608
-6.183185,0.9950041655
-6.133185,0.9887710781
-6.083185,0.9800665682
-6.033185,0.9689124158
-5.983185,0.9553364855
-5.933185,0.9393727107
-5.883185,0.9210609928
-5.833185,0.9004471016
-5.783185,0.8775825615
-5.733185,0.8525245219
-5.683185,0.8253356148
-5.633185,0.7960837985
-5.583185,0.7648421927
-5.533185,0.7316888717
-5.483185,0.6967067108
-5.433185,0.6599831466
-5.383185,0.6216099686
-5.333185,0.5816830896
-5.283185,0.5403023059
-5.233185,0.4975710401
-5.183185,0.4535961183
-5.133185,0.4084874397
-5.083185,0.3623577541
-5.033185,0.3153223623
-4.983185,0.2674988286
-4.933185,0.2190066922
-4.883185,0.1699671437
-4.833185,0.1205027694
-4.783185,0.0707372017
-4.733185,0.0207948278
-4.683185,-0.0291995217
-4.633185,-0.0791208884
-4.583185,-0.1288445026
-4.533185,-0.1782460622
-4.483185,-0.2272020999
-4.433185,-0.2755902509
-4.383185,-0.3232895701
-4.333185,-0.3701808339
-4.283185,-0.4161468385
-4.233185,-0.4610726929
-4.183185,-0.5048461058
-4.133185,-0.5473576664
-4.083185,-0.5885011180
-4.033185,-0.6281736233
-3.983185,-0.6662760217
-3.933185,-0.7027130680
-3.883185,-0.7373937086
-3.833185,-0.7702312487
-3.783185,-0.8011436114
-3.733185,-0.8300535320
-3.683185,-0.8568887508
-3.633185,-0.8815821939
-3.583185,-0.9040721405
-3.533185,-0.9243023775
-3.483185,-0.9422223398
-3.433185,-0.9577872369
-3.383185,-0.9709581646
-3.333185,-0.9817022026
-3.283185,-0.9899925055
-3.233185,-0.9958083314
-3.183185,-0.9991351555
-3.133185,-0.9999646625
-3.083185,-0.9982947789
-3.033185,-0.9941296785
-2.983185,-0.9874797717
-2.933185,-0.9783616800
-2.883185,-0.9667981936
-2.833185,-0.9528182154
-2.783185,-0.9364566879
-2.733185,-0.9177545064
-2.683185,-0.8967584167
-2.633185,-0.8735208894
-2.583185,-0.8481000254
-2.533185,-0.8205593526
-2.483185,-0.7909677083
-2.433185,-0.7593990564
-2.383185,-0.7259323022
-2.333185,-0.6906510950
-2.283185,-0.6536436197
-2.233185,-0.6150023757
-2.183185,-0.5748239459
-2.133185,-0.5332087556
-2.083185,-0.4902608210
-2.033185,-0.4460874993
-1.983185,-0.4007991791
-1.933185,-0.3545090703
-1.883185,-0.3073328738
-1.833185,-0.2593885056
-1.783185,-0.2107958015
-1.733185,-0.1616762179
-1.683185,-0.1121525280
-1.633185,-0.0623485154
-1.583185,-0.0123886640
-1.533185,0.0376021525
-1.483185,0.0874989831
-1.433185,0.1371771217
-1.383185,0.1865123764
-1.333185,0.2353814480
-1.283185,0.2836621891
-1.233185,0.3312339228
-1.183185,0.3779777446
-1.133185,0.4237768190
-1.083185,0.4685166722
-1.033185,0.5120854779
-0.983185,0.5543743366
-0.933185,0.5952775483
-0.883185,0.6346928761
-0.833185,0.6725217940
-0.783185,0.7086697685
-0.733185,0.7430464369
-0.683185,0.7755658757
-0.633185,0.8061468034
-0.583185,0.8347127836
-0.533185,0.8611924163
-0.483185,0.8855195164
-0.433185,0.9076332787
-0.383185,0.9274784305
-0.333185,0.9450053692
-0.283185,0.9601702946
-0.233185,0.9729352836
-0.183185,0.9832684419
-0.133185,0.9911439418
-0.083185,0.9965420985
-0.033185,0.9994494191
0.016815,0.9998586369
0.066815,0.9977687290
0.116815,0.9931849190
0.166815,0.9861186639
0.216815,0.9765876175
0.266815,0.9646156222
0.316815,0.9502325889
0.366815,0.9334744683
0.416815,0.9143831472
0.466815,0.8930063441
0.516815,0.8693974900
0.566815,0.8436155949
0.616815,0.8157251000
0.666815,0.7857957255
0.716815,0.7539022587
0.766815,0.7201244307
0.816815,0.6845466676
0.866815,0.6472578948
0.916815,0.6083513148
0.966815,0.5679241734
1.016815,0.5260775174
1.066815,0.4829159359
1.116815,0.4385473253
1.166815,0.3930825728
1.216815,0.3466353176
1.266815,0.2993216543
1.316815,0.2512598426
1.366815,0.2025700150
1.416815,0.1533738624
1.466815,0.1037943572
1.516815,0.0539554167
1.566815,0.0039816235
1.616815,-0.0460021239
1.666815,-0.0958708934
1.716815,-0.1455000341
1.766815,-0.1947655021
1.816815,-0.2435441537
1.866815,-0.2917140739
1.916815,-0.3391548608
1.966815,-0.3857479368
2.016815,-0.4313768430
2.066815,-0.4759275300
2.116815,-0.5192886541
2.166815,-0.5613518221
2.216815,-0.6020119029
2.266815,-0.6411672676
2.316815,-0.6787200483
2.366815,-0.7145763829
2.416815,-0.7486466496
2.466815,-0.7808456911
2.516815,-0.8110930140
2.566815,-0.8393130342
2.616815,-0.8654352090
2.666815,-0.8893942463
2.716815,-0.9111302609
2.766815,-0.9305889242
2.816815,-0.9477215993
2.866815,-0.9624854633
2.916815,-0.9748436138
2.966815,-0.9847651736
3.016815,-0.9922253256
3.066815,-0.9972054312
3.116815,-0.9996930426
3.166815,-0.9996819421
3.216815,-0.9971721575
3.266815,-0.9921699622
3.316815,-0.9846878590
3.366815,-0.9747445496
3.416815,-0.9623648873
3.466815,-0.9475798038
3.516815,-0.9304262719
3.566815,-0.9109471588
3.616815,-0.8891911521
3.666815,-0.8652126305
3.716815,-0.8390715279
3.766815,-0.8108331832
3.816815,-0.7805681776
3.866815,-0.7483521576
3.916815,-0.7142656466
3.966815,-0.6783938427
4.016815,-0.6408264178
4.066815,-0.6016572527
4.116815,-0.5609842578
4.166815,-0.5189090946
4.216815,-0.4755369289
4.266815,-0.4309761686
4.316815,-0.3853381925
4.366815,-0.3387370718
4.416815,-0.2912892852
4.466815,-0.2431134274
4.516815,-0.1943299131
4.566815,-0.1450606759
4.616815,-0.0954288507
4.666815,-0.0455585124
4.716815,0.0044256985
4.766815,0.0543988476
4.816815,0.1042360279
4.866815,0.1538126726
4.916815,0.2030048658
4.966815,0.2516896528
5.016815,0.2997453470
5.066815,0.3470518342
5.116815,0.3934908730
5.166815,0.4389463902
5.216815,0.4833047584
5.266815,0.5264551256
5.316815,0.5682896292
5.366815,0.6087037045
5.416815,0.6475963376
5.466815,0.6848703169
5.516815,0.7204324770
5.566815,0.7541939310
5.616815,0.7860702927
5.666815,0.8159818878
5.716815,0.8438539527
5.766815,0.8696168218
5.816815,0.8932061118
5.866815,0.9145628436
5.916815,0.9336336446
5.966815,0.9503708478
6.016815,0.9647326189
6.066815,0.9766830609
6.116815,0.9861923040
6.166815,0.9932365801
6.216815,0.9977982822
6.266815,0.9998660084
