X,Result_COT
-6.283185,NaN
-6.233185,19.9833307659
-6.183185,9.9666434701
-6.133185,6.6165911714
-6.083185,4.9331546789
-6.033185,3.9163172662
-5.983185,3.2327280912
-5.933185,2.7395121297
-5.883185,2.3652224031
-5.833185,2.0701573512
-5.783185,1.8304877156
-5.733185,1.6310414200
-5.683185,1.4616959447
-5.633185,1.3154356907
-5.583185,1.1872418397
-5.533185,1.0734261521
-5.483185,0.9712146134
-5.433185,0.8784777927
-5.383185,0.7935511532
-5.333185,0.7151118818
-5.283185,0.6420926182
-5.233185,0.5736196896
-5.183185,0.5089681027
-5.133185,0.4475280216
-5.083185,0.3887795694
-5.033185,0.3322734174
-4.983185,0.2776156467
-4.933185,0.2244557236
-4.883185,0.1724767267
-4.833185,0.1213873190
-4.783185,0.0709148439
-4.733185,0.0207993252
-4.683185,-0.0292119775
-4.633185,-0.0793697099
-4.583185,-0.1299274725
-4.533185,-0.1811469590
-4.483185,-0.2333035399
-4.433185,-0.2866923539
-4.383185,-0.3416353586
-4.333185,-0.3984896521
-4.283185,-0.4576575563
-4.233185,-0.5195991052
-4.183185,-0.5848478129
-4.133185,-0.6540309009
-4.083185,-0.7278957807
-4.033185,-0.8073451552
-3.983185,-0.8934844668
-3.933185,-0.9876871242
-3.883185,-1.0916860183
-3.833185,-1.2077044203
-3.783185,-1.3386481230
-3.733185,-1.4883947781
-3.683185,-1.6622433971
-3.633185,-1.8676380390
-3.583185,-2.1153829759
-3.533185,-2.4217889219
-3.483185,-2.8127034535
-3.433185,-3.3316886316
-3.383185,-4.0583526720
-3.333185,-5.1553857001
-3.283185,-7.0152525480
-3.233185,-10.8873581808
-3.183185,-24.0288413010
-3.133185,118.9407993279
-3.083185,17.1016605364
-3.033185,9.1883030147
-2.983185,6.2599472172
-2.933185,4.7286241073
-2.883185,3.7833372764
-2.833185,3.1390046025
-2.783185,2.6696164695
-2.733185,2.3108617345
-2.683185,2.0264790655
-2.633185,1.7944635301
-2.583185,1.6006836058
-2.533185,1.4356453544
-2.483185,1.2927310731
-2.433185,1.1671837022
-2.383185,1.0554929172
-2.333185,0.9550089068
-2.283185,0.8636911569
-2.233185,0.7799399881
-2.183185,0.7024807847
-2.133185,0.6302825404
-2.083185,0.5624993683
-2.033185,0.4984277136
-1.983185,0.4374744390
-1.933185,0.3791327663
-1.883185,0.3229636445
-1.833185,0.2685812169
-1.783185,0.2156412337
-1.733185,0.1638316092
-1.683185,0.1128645901
-1.633185,0.0624700546
-1.583185,0.0123896148
-1.533185,-0.0376287639
-1.483185,-0.0878358680
-1.433185,-0.1384862969
-1.383185,-0.1898436362
-1.333185,-0.2421861367
-1.283185,-0.2958129206
-1.233185,-0.3510512332
-1.183185,-0.4082650150
-1.133185,-0.4678653419
-1.083185,-0.5303233951
-1.033185,-0.5961868826
-0.983185,-0.6661011937
-0.933185,-0.7408371078
-0.883185,-0.8213276893
-0.833185,-0.9087182939
-0.783185,-1.0044355243
-0.733185,-1.1102841948
-0.683185,-1.2285868265
-0.633185,-1.3623890084
-0.583185,-1.5157702879
-0.533185,-1.6943298881
-0.483185,-1.9059736763
-0.433185,-2.1622465084
-0.383185,-2.4807069255
-0.333185,-2.8894403220
-0.283185,-3.4363530330
-0.233185,-4.2104230763
-0.183185,-5.3977542657
-0.133185,-7.4638880431
-0.083185,-11.9936124777
-0.033185,-30.1227555449
0.016815,59.4661921869
0.066815,14.9444897132
0.116815,8.5215932596
0.166815,5.9389674357
0.216815,4.5397343406
0.266815,3.6585563037
0.316815,3.0501008871
0.366815,2.6027895365
0.416815,2.2585731230
