X,Result_F
-6.283185,NaN
-6.233185,19.0609381940
-6.183185,9.1274903113
-6.133185,5.8669154306
-6.083185,4.2797919381
-6.033185,3.3667157755
-5.983185,2.7949937574
-5.933185,2.4224871744
-5.883185,2.1786075635
-5.833185,2.0246890887
-5.783185,1.9381868549
-5.733185,1.9055562890
-5.683185,1.9187728445
-5.633185,1.9735641540
-5.583185,2.0685444498
-5.533185,2.2048980262
-5.483185,2.3864727365
-5.433185,2.6202737826
-5.383185,2.9174563274
-5.333185,3.2950570566
-5.283185,3.7789432330
-5.233185,4.4089140176
-5.183185,5.2478417290
-5.133185,6.3988845227
-5.083185,8.0399893560
-5.033185,10.4987516217
-4.983185,14.4321269443
-4.933185,21.3197729419
-4.883185,35.0976672943
-4.833185,69.3571627322
-4.783185,200.3469237967
-4.733185,2313.0402035737
-4.683185,1173.3658057717
-4.633185,160.2375743082
-4.583185,60.7273883171
-4.533185,31.9550592598
-4.483185,19.8406473785
-4.433185,13.6210217548
-4.383185,10.0063353563
-4.333185,7.7184919641
-4.283185,6.1772182540
-4.233185,5.0884410808
-4.183185,4.2904647941
-4.133185,3.6886705057
-4.083185,3.2249745881
-4.033185,2.8624158605
-3.983185,2.5768935288
-3.933185,2.3525246858
-3.883185,2.1789484684
-3.833185,2.0497443723
-3.783185,1.9615354134
-3.733185,1.9135656291
-3.683185,1.9076715808
-3.633185,1.9486774470
-3.583185,2.0453793226
-3.533185,2.2125260095
-3.483185,2.4747283850
-3.433185,2.8745470563
-3.383185,3.4907557375
-3.333185,4.4853242531
-3.283185,6.2500695356
-3.233185,10.0337883607
-3.183185,23.0930218632
-3.133185,-119.9533387493
-3.083185,-18.1860385565
-3.033185,-10.3403302751
-2.983185,-7.4762043391
-2.933185,-6.0065533715
-2.883185,-5.1213575463
-2.833185,-4.5366522427
-2.783185,-4.1277177073
-2.733185,-3.8317446047
-2.683185,-3.6142365903
-2.633185,-3.4552848092
-2.583185,-3.3432762969
-2.533185,-3.2717844398
-2.483185,-3.2379833112
-2.433185,-3.2418823278
-2.383185,-3.2860746363
-2.333185,-3.3758860762
-2.283185,-3.5199328878
-2.233185,-3.7312067202
-2.183185,-4.0289589447
-2.133185,-4.4419188195
-2.083185,-5.0138946665
-2.033185,-5.8138940109
-1.983185,-6.9553701210
-1.933185,-8.6352790244
-1.883185,-11.2201340512
-1.833185,-15.4567450393
-1.783185,-23.0665879786
-1.733185,-38.7928785144
-1.683185,-80.0200424565
-1.633185,-257.7508376067
-1.583185,-6516.0497077728
-1.533185,-707.7546014597
-1.483185,-131.1258261931
-1.433185,-53.6678315179
-1.383185,-29.2947029943
-1.333185,-18.6262889256
-1.283185,-13.0406966254
-1.233185,-9.7694701854
-1.183185,-7.7032446301
-1.133185,-6.3272389284
-1.083185,-5.3761339030
-1.033185,-4.7019459679
-0.983185,-4.2169177028
-0.933185,-3.8664338968
-0.883185,-3.6152052809
-0.833185,-3.4398011703
-0.783185,-3.3244294606
-0.733185,-3.2584825167
-0.683185,-3.2351022097
-0.633185,-3.2503838324
