X,Result_LOG10
-6.283185,NaN
-6.233185,NaN
-6.183185,NaN
-6.133185,NaN
-6.083185,NaN
-6.033185,NaN
-5.983185,NaN
-5.933185,NaN
-5.883185,NaN
-5.833185,NaN
-5.783185,NaN
-5.733185,NaN
-5.683185,NaN
-5.633185,NaN
-5.583185,NaN
-5.533185,NaN
-5.483185,NaN
-5.433185,NaN
-5.383185,NaN
-5.333185,NaN
-5.283185,NaN
-5.233185,NaN
-5.183185,NaN
-5.133185,NaN
-5.083185,NaN
-5.033185,NaN
-4.983185,NaN
-4.933185,NaN
-4.883185,NaN
-4.833185,NaN
-4.783185,NaN
-4.733185,NaN
-4.683185,NaN
-4.633185,NaN
-4.583185,NaN
-4.533185,NaN
-4.483185,NaN
-4.433185,NaN
-4.383185,NaN
-4.333185,NaN
-4.283185,NaN
-4.233185,NaN
-4.183185,NaN
-4.133185,NaN
-4.083185,NaN
-4.033185,NaN
-3.983185,NaN
-3.933185,NaN
-3.883185,NaN
-3.833185,NaN
-3.783185,NaN
-3.733185,NaN
-3.683185,NaN
-3.633185,NaN
-3.583185,NaN
-3.533185,NaN
-3.483185,NaN
-3.433185,NaN
-3.383185,NaN
-3.333185,NaN
-3.283185,NaN
-3.233185,NaN
-3.183185,NaN
-3.133185,NaN
-3.083185,NaN
-3.033185,NaN
-2.983185,NaN
-2.933185,NaN
-2.883185,NaN
-2.833185,NaN
-2.783185,NaN
-2.733185,NaN
-2.683185,NaN
-2.633185,NaN
-2.583185,NaN
-2.533185,NaN
-2.483185,NaN
-2.433185,NaN
-2.383185,NaN
-2.333185,NaN
-2.283185,NaN
-2.233185,NaN
-2.183185,NaN
-2.133185,NaN
-2.083185,NaN
-2.033185,NaN
-1.983185,NaN
-1.933185,NaN
-1.883185,NaN
-1.833185,NaN
-1.783185,NaN
-1.733185,NaN
-1.683185,NaN
-1.633185,NaN
-1.583185,NaN
-1.533185,NaN
-1.483185,NaN
-1.433185,NaN
-1.383185,NaN
-1.333185,NaN
-1.283185,NaN
-1.233185,NaN
-1.183185,NaN
-1.133185,NaN
-1.083185,NaN
-1.033185,NaN
-0.983185,NaN
-0.933185,NaN
-0.883185,NaN
-0.833185,NaN
-0.783185,NaN
-0.733185,NaN
-0.683185,NaN
-0.633185,NaN
-0.583185,NaN
-0.533185,NaN
-0.483185,NaN
-0.433185,NaN
-0.383185,NaN
-0.333185,NaN
-0.283185,NaN
-0.233185,NaN
-0.183185,NaN
-0.133185,NaN
-0.083185,NaN
-0.033185,NaN
0.016815,-1.7743109837
0.066815,-1.1751280244
0.116815,-0.9325025281
0.166815,-0.7777657078
0.216815,-0.6639112974
0.266815,-0.5737902660
0.316815,-0.4991946934
0.366815,-0.4355532819
0.416815,-0.3800569866
0.466815,-0.3308554887
0.516815,-0.2866651523
0.566815,-0.2465589023
0.616815,-0.2098452940
0.666815,-0.1759948417
0.716815,-0.1445931045
0.766815,-0.1153095757
0.816815,-0.0878764607
0.866815,-0.0620737361
0.916815,-0.0377184362
0.966815,-0.0146567583
1.016815,0.0072418132
1.066815,0.0280889829
1.116815,0.0479811198
1.166815,0.0670018888
1.216815,0.0852244470
1.266815,0.1027130937
1.316815,0.1195246648
1.366815,0.1357096367
1.416815,0.1513130551
1.466815,0.1663752544
1.516815,0.1809325288
1.566815,0.1950176349
1.616815,0.2086602515
1.666815,0.2218873241
1.716815,0.2347234246
1.766815,0.2471910038
1.816815,0.2593106320
1.866815,0.2711012155
1.916815,0.2825801343
1.966815,0.2937634475
2.016815,0.3046659982
2.066815,0.3153015389
2.116815,0.3256828472
2.166815,0.3358217770
2.216815,0.3457293952
2.266815,0.3554160211
2.316815,0.3648912981
2.366815,0.3741642632
2.416815,0.3832433583
2.466815,0.3921365311
2.516815,0.4008512435
2.566815,0.4093945169
2.616815,0.4177729768
2.666815,0.4259928456
2.716815,0.4340600225
2.766815,0.4419800769
2.816815,0.4497582788
2.866815,0.4573996295
2.916815,0.4649088461
2.966815,0.4722904271
3.016815,0.4795486390
3.066815,0.4866875378
3.116815,0.4937109824
3.166815,0.5006226590
3.216815,0.5074260504
3.266815,0.5141245055
3.316815,0.5207212122
3.366815,0.5272192151
3.416815,0.5336214343
3.466815,0.5399306359
3.516815,0.5461494913
3.566815,0.5522805516
3.616815,0.5583262609
3.666815,0.5642889719
3.716815,0.5701709174
3.766815,0.5759742627
3.816815,0.5817010809
3.866815,0.5873533639
3.916815,0.5929330269
3.966815,0.5984419219
4.016815,0.6038818047
4.066815,0.6092543904
4.116815,0.6145613238
4.166815,0.6198041899
4.216815,0.6249845172
4.266815,0.6301037904
4.316815,0.6351634135
4.366815,0.6401647688
4.416815,0.6451091831
4.466815,0.6499979382
4.516815,0.6548322827
4.566815,0.6596133977
4.616815,0.6643424503
4.666815,0.6690205618
4.716815,0.6736488182
4.766815,0.6782282708
4.816815,0.6827599478
4.866815,0.6872448182
4.916815,0.6916838470
4.966815,0.6960779619
5.016815,0.7004280626
5.066815,0.7047350308
5.116815,0.7089996976
5.166815,0.7132228931
5.216815,0.7174054162
5.266815,0.7215480426
5.316815,0.7256515263
5.366815,0.7297166093
5.416815,0.7337439869
5.466815,0.7377343598
5.516815,0.7416884018
5.566815,0.7456067684
5.616815,0.7494900977
5.666815,0.7533390201
5.716815,0.7571541227
5.766815,0.7609360026
5.816815,0.7646852334
5.866815,0.7684023740
5.916815,0.7720879690
5.966815,0.7757425590
6.016815,0.7793666435
6.066815,0.7829607358
6.116815,0.7865253282
6.166815,0.7900609010
6.216815,0.7935679317
6.266815,0.7970468611
