X,Result_COS
-6.283185,1.0000000000
-6.233185,0.9987502604
-6.183185,0.9950041653
-6.133185,0.9887710779
-6.083185,0.9800665778
-6.033185,0.9689124217
-5.983185,0.9553364891
-5.933185,0.9393727128
-5.883185,0.9210609940
-5.833185,0.9004471024
-5.783185,0.8775825619
-5.733185,0.8525245221
-5.683185,0.8253356149
-5.633185,0.7960837985
-5.583185,0.7648421873
-5.533185,0.7316888689
-5.483185,0.6967067093
-5.433185,0.6599831459
-5.383185,0.6216099683
-5.333185,0.5816830895
-5.283185,0.5403023059
-5.233185,0.4975710479
-5.183185,0.4535961214
-5.133185,0.4084874409
-5.083185,0.3623577545
-5.033185,0.3153223624
-4.983185,0.2674988286
-4.933185,0.2190066871
-4.883185,0.1699671429
-4.833185,0.1205027694
-4.783185,0.0707372017
-4.733185,0.0207948278
-4.683185,-0.0291995223
-4.633185,-0.0791208888
-4.583185,-0.1288444943
-4.533185,-0.1782460556
-4.483185,-0.2272020947
-4.433185,-0.2755902468
-4.383185,-0.3232895669
-4.333185,-0.3701808314
-4.283185,-0.4161468365
-4.233185,-0.4610726914
-4.183185,-0.5048461046
-4.133185,-0.5473576655
-4.083185,-0.5885011173
-4.033185,-0.6281736227
-3.983185,-0.6662760213
-3.933185,-0.7027130768
-3.883185,-0.7373937155
-3.833185,-0.7702312540
-3.783185,-0.8011436155
-3.733185,-0.8300535352
-3.683185,-0.8568887534
-3.633185,-0.8815821959
-3.583185,-0.9040721420
-3.533185,-0.9243023786
-3.483185,-0.9422223407
-3.433185,-0.9577872376
-3.383185,-0.9709581651
-3.333185,-0.9817022030
-3.283185,-0.9899924966
-3.233185,-0.9958083245
-3.183185,-0.9991351503
-3.133185,-1.0000000000
-3.083185,-0.9982947758
-3.033185,-0.9941296761
-2.983185,-0.9874797699
-2.933185,-0.9783616786
-2.883185,-0.9667981926
-2.833185,-0.9528182146
-2.783185,-0.9364566873
-2.733185,-0.9177545060
-2.683185,-0.8967584163
-2.633185,-0.8735208977
-2.583185,-0.8481000317
-2.533185,-0.8205593573
-2.483185,-0.7909677119
-2.433185,-0.7593990591
-2.383185,-0.7259323042
-2.333185,-0.6906510966
-2.283185,-0.6536436209
-2.233185,-0.6150023765
-2.183185,-0.5748239465
-2.133185,-0.5332087560
-2.083185,-0.4902608213
-2.033185,-0.4460874899
-1.983185,-0.4007991721
-1.933185,-0.3545090650
-1.883185,-0.3073328700
-1.833185,-0.2593885028
-1.783185,-0.2107957994
-1.733185,-0.1616762164
-1.683185,-0.1121525269
-1.633185,-0.0623485146
-1.583185,-0.0123886635
-1.533185,0.0376021529
-1.483185,0.0874989834
-1.433185,0.1371771121
-1.383185,0.1865123694
-1.333185,0.2353814430
-1.283185,0.2836621855
-1.233185,0.3312339202
-1.183185,0.3779777427
-1.133185,0.4237768177
-1.083185,0.4685166713
-1.033185,0.5120854772
-0.983185,0.5543743362
-0.933185,0.5952775480
-0.883185,0.6346928759
-0.833185,0.6725218022
-0.783185,0.7086697743
-0.733185,0.7430464410
-0.683185,0.7755658785
-0.633185,0.8061468053
-0.583185,0.8347127848
-0.533185,0.8611924172
-0.483185,0.8855195169
-0.433185,0.9076332791
-0.383185,0.9274784307
-0.333185,0.9450053693
-0.283185,0.9601702867
-0.233185,0.9729352783
-0.183185,0.9832684384
-0.133185,0.9911439396
-0.083185,0.9965420970
-0.033185,0.9994494182
0.016815,0.9998586364
0.066815,0.9977687287
0.116815,0.9931849188
0.166815,0.9861186638
0.216815,0.9765876257
0.266815,0.9646156272
0.316815,0.9502325920
0.366815,0.9334744701
0.416815,0.9143831482
0.466815,0.8930063447
0.516815,0.8693974903
0.566815,0.8436155951
0.616815,0.8157251001
0.666815,0.7857957173
0.716815,0.7539022543
0.766815,0.7201244284
0.816815,0.6845466664
0.866815,0.6472578943
0.916815,0.6083513145
0.966815,0.5679241733
1.016815,0.5260775174
1.066815,0.4829159417
1.116815,0.4385473276
1.166815,0.3930825736
1.216815,0.3466353178
1.266815,0.2993216543
1.316815,0.2512598426
1.366815,0.2025700121
1.416815,0.1533738620
1.466815,0.1037943572
1.516815,0.0539554206
1.566815,0.0000000000
1.616815,-0.0460021256
1.666815,-0.0958708934
1.716815,-0.1455000338
1.766815,-0.1947654999
1.816815,-0.2435441537
1.866815,-0.2917140740
1.916815,-0.3391548610
1.966815,-0.3857479375
2.016815,-0.4313768450
2.066815,-0.4759275350
2.116815,-0.5192886541
2.166815,-0.5613518220
2.216815,-0.6020119027
2.266815,-0.6411672671
2.316815,-0.6787200473
2.366815,-0.7145763809
2.416815,-0.7486466456
2.466815,-0.7808456836
2.516815,-0.8110930141
2.566815,-0.8393130344
2.616815,-0.8654352092
2.666815,-0.8893942468
2.716815,-0.9111302619
2.766815,-0.9305889258
2.816815,-0.9477216021
2.866815,-0.9624854680
2.916815,-0.9748436214
2.966815,-0.9847651735
3.016815,-0.9922253255
3.066815,-0.9972054309
3.116815,-0.9996930420
3.166815,-0.9996819412
3.216815,-0.9971721562
3.266815,-0.9921699601
3.316815,-0.9846878558
3.366815,-0.9747445447
3.416815,-0.9623648798
3.466815,-0.9475798040
3.516815,-0.9304262721
3.566815,-0.9109471591
3.616815,-0.8891911526
3.666815,-0.8652126313
3.716815,-0.8390715291
3.766815,-0.8108331850
3.816815,-0.7805681802
3.866815,-0.7483521614
3.916815,-0.7142656520
3.966815,-0.6783938505
4.016815,-0.6408264176
4.066815,-0.6016572524
4.116815,-0.5609842574
4.166815,-0.5189090940
4.216815,-0.4755369280
4.266815,-0.4309761674
4.316815,-0.3853381908
4.366815,-0.3387370694
4.416815,-0.2912892817
4.466815,-0.2431134226
4.516815,-0.1943299065
4.566815,-0.1450606668
4.616815,-0.0954288510
4.666815,-0.0455585128
4.716815,0.0000000000
4.766815,0.0543988468
4.816815,0.1042360269
4.866815,0.1538126711
4.916815,0.2030048638
4.966815,0.2516896501
5.016815,0.2997453433
5.066815,0.3470518292
5.116815,0.3934908663
5.166815,0.4389463812
5.216815,0.4833047588
5.266815,0.5264551261
5.316815,0.5682896298
5.366815,0.6087037053
5.416815,0.6475963387
5.466815,0.6848703184
5.516815,0.7204324790
5.566815,0.7541939336
5.616815,0.7860702961
5.666815,0.8159818923
5.716815,0.8438539587
5.766815,0.8696168297
5.816815,0.8932061115
5.866815,0.9145628432
5.916815,0.9336336441
5.966815,0.9503708471
6.016815,0.9647326179
6.066815,0.9766830596
6.116815,0.9861923023
6.166815,0.9932365778
6.216815,0.9977982792
6.266815,0.9998660045
