X,Result_COT
-6.283185,NaN
-6.233185,19.9833305549
-6.183185,9.9666444233
-6.133185,6.6165915056
-6.083185,4.9331548756
-6.033185,3.9163173646
-5.983185,3.2327281438
-5.933185,2.7395121591
-5.883185,2.3652224200
-5.833185,2.0701573613
-5.783185,1.8304877217
-5.733185,1.6310414238
-5.683185,1.4616959471
-5.633185,1.3154356922
-5.583185,1.1872418321
-5.533185,1.0734261485
-5.483185,0.9712146007
-5.433185,0.8784777846
-5.383185,0.7935511478
-5.333185,0.7151118783
-5.283185,0.6420926159
-5.233185,0.5736196971
-5.183185,0.5089681052
-5.133185,0.4475280222
-5.083185,0.3887795694
-5.033185,0.3322734173
-4.983185,0.2776156465
-4.933185,0.2244557182
-4.883185,0.1724767258
-4.833185,0.1213873199
-4.783185,0.0709148443
-4.733185,0.0207993254
-4.683185,-0.0292119782
-4.633185,-0.0793697106
-4.583185,-0.1299274643
-4.533185,-0.1811469526
-4.483185,-0.2333035349
-4.433185,-0.2866923499
-4.383185,-0.3416353555
-4.333185,-0.3984896496
-4.283185,-0.4576575544
-4.233185,-0.5195991037
-4.183185,-0.5848478065
-4.133185,-0.6540308954
-4.083185,-0.7278957760
-4.033185,-0.8073451511
-3.983185,-0.8934844633
-3.933185,-0.9876871341
-3.883185,-1.0916860264
-3.833185,-1.2077044268
-3.783185,-1.3386481283
-3.733185,-1.4883947825
-3.683185,-1.6622434007
-3.633185,-1.8676380420
-3.583185,-2.1153830207
-3.533185,-2.4217889642
-3.483185,-2.8127034948
-3.433185,-3.3316886733
-3.383185,-4.0583527166
-3.333185,-5.1553857517
-3.283185,-7.0152525514
-3.233185,-10.8873582210
-3.183185,-24.0288415769
-3.133185,118.9407917721
-3.083185,17.1016603787
-3.033185,9.1883029713
-2.983185,6.2599475394
-2.933185,4.7286242401
-2.883185,3.7833373376
-2.833185,3.1390046327
-2.783185,2.6696164850
-2.733185,2.3108617427
-2.683185,2.0264790699
-2.633185,1.7944635501
-2.583185,1.6006836194
-2.533185,1.4356453637
-2.483185,1.2927310796
-2.433185,1.1671837067
-2.383185,1.0554929092
-2.333185,0.9550089023
-2.283185,0.8636911545
-2.233185,0.7799399868
-2.183185,0.7024807840
-2.133185,0.6302825401
-2.083185,0.5624993682
-2.033185,0.4984277029
-1.983185,0.4374744312
-1.933185,0.3791327606
-1.883185,0.3229636404
-1.833185,0.2685812158
-1.783185,0.2156412326
-1.733185,0.1638316082
-1.683185,0.1128645892
-1.633185,0.0624700539
-1.583185,0.0123896143
-1.533185,-0.0376287644
-1.483185,-0.0878358684
-1.433185,-0.1384862872
-1.383185,-0.1898436291
-1.333185,-0.2421861298
-1.283185,-0.2958129155
-1.233185,-0.3510512295
-1.183185,-0.4082650123
-1.133185,-0.4678653400
-1.083185,-0.5303233938
-1.033185,-0.5961868817
-0.983185,-0.6661011930
-0.933185,-0.7408371074
-0.883185,-0.8213276958
-0.833185,-0.9087183092
-0.783185,-1.0044355349
-0.733185,-1.1102842021
-0.683185,-1.2285868316
-0.633185,-1.3623890120
-0.583185,-1.5157702904
-0.533185,-1.6943298579
-0.483185,-1.9059736613
-0.433185,-2.1622465017
-0.383185,-2.4807069229
-0.333185,-2.8894403212
-0.283185,-3.4363530042
-0.233185,-4.2104231889
-0.183185,-5.3977542874
-0.133185,-7.4638880345
-0.083185,-11.9936124612
-0.033185,-30.1227552131
0.016815,59.4661921138
0.066815,14.9444897083
0.116815,8.5215932621
0.166815,5.9389674604
0.216815,4.5397344729
0.266815,3.6585563224
0.316815,3.0501008959
0.366815,2.6027895390
0.416815,2.2585731197
0.466815,1.9842642015
0.516815,1.7595102183
0.566815,1.5711320643
0.616815,1.4102161545
0.666815,1.2705146995
0.716815,1.1475154224
0.766815,1.0378751530
0.816815,0.9390613713
0.866815,0.8491177231
0.916815,0.7665061700
0.966815,0.6899980157
1.016815,0.6185969708
1.066815,0.5514837257
1.116815,0.4879752721
1.166815,0.4274945252
1.216815,0.3695472563
1.266815,0.3137042849
1.316815,0.2595874945
1.366815,0.2068586506
1.416815,0.1552102737
1.466815,0.1043580179
1.516815,0.0540341296
1.566815,0.0039816550
1.616815,-0.0460508778
1.666815,-0.0963145396
1.716815,-0.1470650639
1.766815,-0.1985681119
1.816815,-0.2511049719
1.866815,-0.3049789611
1.916815,-0.3605228496
1.966815,-0.4181077142
2.016815,-0.4781537495
2.066815,-0.5411437454
2.116815,-0.6076402031
2.166815,-0.6783074460
2.216815,-0.7539406625
2.266815,-0.8355046919
2.316815,-0.9241867231
2.366815,-1.0214692199
2.416815,-1.1292328688
2.466815,-1.2499051444
2.516815,-1.3866800701
2.566815,-1.5438525469
2.616815,-1.7273436786
2.666815,-1.9455579121
2.716815,-2.2108454110
2.766815,-2.5421348949
2.816815,-2.9699983264
2.866815,-3.5472450366
2.916815,-4.3736551532
2.966815,-5.6631668747
3.016815,-7.9725999084
3.066815,-13.3479889001
3.116815,-40.3501866766
3.166815,39.6394570417
3.216815,13.2688927333
3.266815,7.9440303073
3.316815,5.6485173929
3.366815,4.3647336874
3.416815,3.5412226287
3.466815,2.9656428249
3.516815,2.5388247184
3.566815,2.2082333136
3.616815,1.9434347441
3.666815,1.7255759519
3.716815,1.5423510454
3.766815,1.3853828801
3.816815,1.2487679298
3.866815,1.1282230225
3.916815,1.0205622016
3.966815,0.9233636856
4.016815,0.8347508961
4.066815,0.7532443911
4.116815,0.6776592419
4.166815,0.6070323231
4.216815,0.5405697624
4.266815,0.4776082567
4.316815,0.4175861014
4.366815,0.3600211315
4.416815,0.3044936436
4.466815,0.2506329453
4.516815,0.1981065644
4.566815,0.1466114105
4.616815,0.0958663608
4.666815,0.0456058666
4.716815,-0.0044257413
4.766815,-0.0544795154
4.816815,-0.1048069535
4.866815,-0.1556650815
4.916815,-0.2073217739
4.966815,-0.2600615522
5.016815,-0.3141921332
5.066815,-0.3700520633
5.116815,-0.4280198595
5.166815,-0.4885252137
5.216815,-0.5520630055
5.266815,-0.6192111501
5.316815,-0.6906537197
5.366815,-0.7672113987
5.416815,-0.8498822709
5.466815,-0.9398974029
5.516815,-1.0387980115
5.566815,-1.1485447843
5.616815,-1.2716762682
5.666815,-1.4115442078
5.716815,-1.5726734064
5.766815,-1.7613305312
5.816815,-1.9864586859
5.866815,-2.2612852306
5.916815,-2.6062460284
5.966815,-3.0546824936
6.016815,-3.6649548023
6.066815,-4.5493500339
6.116815,-5.9551173732
6.166815,-8.5544094181
6.216815,-15.0447788593
6.266815,-61.0796054519
