X,Result_LN
-6.283185,NaN
-6.233185,NaN
-6.183185,NaN
-6.133185,NaN
-6.083185,NaN
-6.033185,NaN
-5.983185,NaN
-5.933185,NaN
-5.883185,NaN
-5.833185,NaN
-5.783185,NaN
-5.733185,NaN
-5.683185,NaN
-5.633185,NaN
-5.583185,NaN
-5.533185,NaN
-5.483185,NaN
-5.433185,NaN
-5.383185,NaN
-5.333185,NaN
-5.283185,NaN
-5.233185,NaN
-5.183185,NaN
-5.133185,NaN
-5.083185,NaN
-5.033185,NaN
-4.983185,NaN
-4.933185,NaN
-4.883185,NaN
-4.833185,NaN
-4.783185,NaN
-4.733185,NaN
-4.683185,NaN
-4.633185,NaN
-4.583185,NaN
-4.533185,NaN
-4.483185,NaN
-4.433185,NaN
-4.383185,NaN
-4.333185,NaN
-4.283185,NaN
-4.233185,NaN
-4.183185,NaN
-4.133185,NaN
-4.083185,NaN
-4.033185,NaN
-3.983185,NaN
-3.933185,NaN
-3.883185,NaN
-3.833185,NaN
-3.783185,NaN
-3.733185,NaN
-3.683185,NaN
-3.633185,NaN
-3.583185,NaN
-3.533185,NaN
-3.483185,NaN
-3.433185,NaN
-3.383185,NaN
-3.333185,NaN
-3.283185,NaN
-3.233185,NaN
-3.183185,NaN
-3.133185,NaN
-3.083185,NaN
-3.033185,NaN
-2.983185,NaN
-2.933185,NaN
-2.883185,NaN
-2.833185,NaN
-2.783185,NaN
-2.733185,NaN
-2.683185,NaN
-2.633185,NaN
-2.583185,NaN
-2.533185,NaN
-2.483185,NaN
-2.433185,NaN
-2.383185,NaN
-2.333185,NaN
-2.283185,NaN
-2.233185,NaN
-2.183185,NaN
-2.133185,NaN
-2.083185,NaN
-2.033185,NaN
-1.983185,NaN
-1.933185,NaN
-1.883185,NaN
-1.833185,NaN
-1.783185,NaN
-1.733185,NaN
-1.683185,NaN
-1.633185,NaN
-1.583185,NaN
-1.533185,NaN
-1.483185,NaN
-1.433185,NaN
-1.383185,NaN
-1.333185,NaN
-1.283185,NaN
-1.233185,NaN
-1.183185,NaN
-1.133185,NaN
-1.083185,NaN
-1.033185,NaN
-0.983185,NaN
-0.933185,NaN
-0.883185,NaN
-0.833185,NaN
-0.783185,NaN
-0.733185,NaN
-0.683185,NaN
-0.633185,NaN
-0.583185,NaN
-0.533185,NaN
-0.483185,NaN
-0.433185,NaN
-0.383185,NaN
-0.333185,NaN
-0.283185,NaN
-0.233185,NaN
-0.183185,NaN
-0.133185,NaN
-0.083185,NaN
-0.033185,NaN
0.016815,-4.0855022021
0.066815,-2.7058322702
0.116815,-2.1471664218
0.166815,-1.7908717065
0.216815,-1.5287122404
0.266815,-1.3212008959
0.316815,-1.1494382413
0.366815,-1.0028984826
0.416815,-0.8751135377
0.466815,-0.7618229034
0.516815,-0.6600708965
0.566815,-0.5677228491
0.616815,-0.4831866360
0.666815,-0.4052430935
0.716815,-0.3329379197
0.766815,-0.2655101068
0.816815,-0.2023430240
0.866815,-0.1429300588
0.916815,-0.0868499069
0.966815,-0.0337484329
1.016815,0.0166748908
1.066815,0.0646772860
1.116815,0.1104806091
1.166815,0.1542775513
1.216815,0.1962365369
1.266815,0.2365056340
1.316815,0.2752157089
1.366815,0.3124829910
1.416815,0.3484111779
1.466815,0.3830931741
1.516815,0.4166125392
1.566815,0.4490447004
1.616815,0.4804579747
1.666815,0.5109144355
1.716815,0.5404706511
1.766815,0.5691783168
1.816815,0.5970847990
1.866815,0.6242336057
1.916815,0.6506647942
1.966815,0.6764153269
2.016815,0.7015193821
2.066815,0.7260086264
2.116815,0.7499124554
2.166815,0.7732582057
2.216815,0.7960713425
2.266815,0.8183756270
2.316815,0.8401932650
2.366815,0.8615450397
2.416815,0.8824504305
2.466815,0.9029277203
2.516815,0.9229940912
2.566815,0.9426657111
2.616815,0.9619578120
2.666815,0.9808847613
2.716815,1.0000000000
2.766815,1.0176967281
2.816815,1.0356067050
2.866815,1.0532015503
2.916815,1.0704921622
2.966815,1.0874888833
3.016815,1.1042015373
3.066815,1.1206394636
3.116815,1.1368115485
3.166815,1.1527262539
3.216815,1.1683916441
3.266815,1.1838154101
3.316815,1.1990048925
3.366815,1.2139671024
3.416815,1.2287087407
3.466815,1.2432362164
3.516815,1.2575556631
3.566815,1.2716729546
3.616815,1.2855937194
3.666815,1.2993233541
3.716815,1.3128670361
3.766815,1.3262297353
3.816815,1.3394162247
3.866815,1.3524310913
3.916815,1.3652787451
3.966815,1.3779634283
4.016815,1.3904892236
4.066815,1.4028600623
4.116815,1.4150797315
4.166815,1.4271518813
4.216815,1.4390800309
4.266815,1.4508675753
4.316815,1.4625177907
4.366815,1.4740338401
4.416815,1.4854187786
4.466815,1.4966755579
4.516815,1.5078070314
4.566815,1.5188159581
4.616815,1.5297050069
4.666815,1.5404767603
4.716815,1.5511337186
4.766815,1.5616783026
4.816815,1.5721128575
4.866815,1.5824396559
4.916815,1.5926609007
4.966815,1.6027787278
5.016815,1.6127952090
5.066815,1.6227123544
5.116815,1.6325321151
5.166815,1.6422563851
5.216815,1.6518870035
5.266815,1.6614257572
5.316815,1.6708743821
5.366815,1.6802345655
5.416815,1.6895079476
5.466815,1.6986961238
5.516815,1.7078006453
5.566815,1.7168230219
5.616815,1.7257647226
5.666815,1.7346271773
5.716815,1.7434117784
5.766815,1.7521198818
5.816815,1.7607528083
5.866815,1.7693118448
5.916815,1.7777982454
5.966815,1.7862132327
6.016815,1.7945579985
6.066815,1.8028337050
6.116815,1.8110414860
6.166815,1.8191824474
6.216815,1.8272576683
6.266815,1.8352682021
