X,Result_SIN
-6.283185,0.0000000000
-6.233185,0.0499791693
-6.183185,0.0998334166
-6.133185,0.1494381325
-6.083185,0.1986693308
-6.033185,0.2474039593
-5.983185,0.2955202067
-5.933185,0.3428978075
-5.883185,0.3894183423
-5.833185,0.4349655341
-5.783185,0.4794255386
-5.733185,0.5226872289
-5.683185,0.5646424734
-5.633185,0.6051864057
-5.583185,0.6442176872
-5.533185,0.6816387600
-5.483185,0.7173560909
-5.433185,0.7512804051
-5.383185,0.7833269096
-5.333185,0.8134155048
-5.283185,0.8414709848
-5.233185,0.8674232256
-5.183185,0.8912073601
-5.133185,0.9127639403
-5.083185,0.9320390860
-5.033185,0.9489846194
-4.983185,0.9635581854
-4.933185,0.9757233578
-4.883185,0.9854497300
-4.833185,0.9927129910
-4.783185,0.9974949866
-4.733185,0.9997837642
-4.683185,0.9995736030
-4.633185,0.9968650285
-4.583185,0.9916648105
-4.533185,0.9839859469
-4.483185,0.9738476309
-4.433185,0.9612752030
-4.383185,0.9463000877
-4.333185,0.9289597150
-4.283185,0.9092974268
-4.233185,0.8873623686
-4.183185,0.8632093666
-4.133185,0.8368987908
-4.083185,0.8084964038
-4.033185,0.7780731969
-3.983185,0.7457052122
-3.933185,0.7114733528
-3.883185,0.6754631806
-3.833185,0.6377647021
-3.783185,0.5984721441
-3.733185,0.5576837174
-3.683185,0.5155013718
-3.633185,0.4720305413
-3.583185,0.4273798802
-3.533185,0.3816609921
-3.483185,0.3349881502
-3.433185,0.2874780123
-3.383185,0.2392493292
-3.333185,0.1904226474
-3.283185,0.1411200081
-3.233185,0.0914646422
-3.183185,0.0415806624
-3.133185,0.0000000000
-3.083185,-0.0583741434
-3.033185,-0.1081951345
-2.983185,-0.1577456941
-2.933185,-0.2069019717
-2.883185,-0.2555411020
-2.833185,-0.3035415127
-2.783185,-0.3507832277
-2.733185,-0.3971481673
-2.683185,-0.4425204433
-2.633185,-0.4867866487
-2.583185,-0.5298361409
-2.533185,-0.5715613187
-2.483185,-0.6118578909
-2.433185,-0.6506251371
-2.383185,-0.6877661592
-2.333185,-0.7231881241
-2.283185,-0.7568024953
-2.233185,-0.7885252544
-2.183185,-0.8182771111
-2.133185,-0.8459837011
-2.083185,-0.8715757724
-2.033185,-0.8949893582
-1.983185,-0.9161659367
-1.933185,-0.9350525776
-1.883185,-0.9516020739
-1.833185,-0.9657730606
-1.783185,-0.9775301177
-1.733185,-0.9868438585
-1.683185,-0.9936910036
-1.633185,-0.9980544388
-1.583185,-0.9999232576
-1.533185,-0.9992927890
-1.483185,-0.9961646088
-1.433185,-0.9905465360
-1.383185,-0.9824526126
-1.333185,-0.9719030694
-1.283185,-0.9589242747
-1.233185,-0.9435486686
-1.183185,-0.9258146823
-1.133185,-0.9057666415
-1.083185,-0.8834546557
-1.033185,-0.8589344934
-0.983185,-0.8322674422
-0.933185,-0.8035201559
-0.883185,-0.7727644876
-0.833185,-0.7400773105
-0.783185,-0.7055403256
-0.733185,-0.6692398573
-0.683185,-0.6312666379
-0.633185,-0.5917155806
-0.583185,-0.5506855426
-0.533185,-0.5082790775
-0.483185,-0.4646021794
-0.433185,-0.4197640178
-0.383185,-0.3738766648
-0.333185,-0.3270548149
-0.283185,-0.2794154982
-0.233185,-0.2310777883
-0.183185,-0.1821625043
-0.133185,-0.1327919089
-0.083185,-0.0830894028
-0.033185,-0.0331792165
0.016815,0.0168139005
0.066815,0.0667649915
0.116815,0.1165492049
0.166815,0.1660421059
0.216815,0.2151199881
0.266815,0.2636601824
0.316815,0.3115413635
0.366815,0.3586438535
0.416815,0.4048499206
0.466815,0.4500440738
0.516815,0.4941133511
0.566815,0.5369476024
0.616815,0.5784397644
0.666815,0.6184861282
0.716815,0.6569865987
0.766815,0.6938449449
0.816815,0.7289690401
0.866815,0.7622710924
0.916815,0.7936678638
0.966815,0.8230808790
1.016815,0.8504366206
1.066815,0.8756667136
1.116815,0.8987080958
1.166815,0.9195031758
1.216815,0.9379999768
1.266815,0.9541522663
1.316815,0.9679196720
1.366815,0.9792677827
1.416815,0.9881682339
1.466815,0.9945987791
1.516815,0.9985433454
1.566815,1.0000000000
1.616815,0.9989413418
1.666815,0.9953937773
1.716815,0.9893582466
1.766815,0.9808498356
1.816815,0.9698898108
1.866815,0.9565055667
1.916815,0.9407305567
1.966815,0.9226042102
2.016815,0.9021718338
2.066815,0.8794844975
2.116815,0.8545989081
2.166815,0.8275772664
2.216815,0.7984871126
2.266815,0.7674011569
2.316815,0.7343970979
2.366815,0.6995574286
2.416815,0.6629692301
2.466815,0.6247239538
2.516815,0.5849171929
2.566815,0.5436484437
2.616815,0.5010208565
2.666815,0.4571409780
2.716815,0.4121184852
2.766815,0.3660659109
2.816815,0.3190983623
2.866815,0.2713332341
2.916815,0.2228899141
2.966815,0.1738894854
3.016815,0.1244544235
3.066815,0.0747082904
3.116815,0.0247754255
3.166815,-0.0252193651
3.216815,-0.0751511205
3.266815,-0.1248950371
3.316815,-0.1743267812
3.366815,-0.2233227992
3.416815,-0.2717606264
3.466815,-0.3195191936
3.516815,-0.3664791293
3.566815,-0.4125230579
3.616815,-0.4575358938
3.666815,-0.5014051282
3.716815,-0.5440211109
3.766815,-0.5852773241
3.816815,-0.6250706489
3.866815,-0.6633016226
3.916815,-0.6998746876
3.966815,-0.7346984304
4.016815,-0.7676858098
4.066815,-0.7987543744
4.116815,-0.8278264691
4.166815,-0.8548294287
4.216815,-0.8796957600
4.266815,-0.9023633100
4.316815,-0.9227754216
4.366815,-0.9408810753
4.416815,-0.9566350163
4.466815,-0.9699978679
4.516815,-0.9809362301
4.566815,-0.9894227625
4.616815,-0.9954362533
4.666815,-0.9989616719
4.716815,-1.0000000000
4.766815,-0.9985192865
4.816815,-0.9945525882
4.866815,-0.9881000264
4.916815,-0.9791777292
4.966815,-0.9678079975
5.016815,-0.9540192499
5.066815,-0.9378459510
5.116815,-0.9193285257
5.166815,-0.8985132578
5.216815,-0.8754521747
5.266815,-0.8502029171
5.316815,-0.8228285950
5.366815,-0.7933976299
5.416815,-0.7619835839
5.466815,-0.7286649758
5.516815,-0.6935250848
5.566815,-0.6566517422
5.616815,-0.6181371122
5.666815,-0.5780774614
5.716815,-0.5365729180
5.766815,-0.4937272217
5.816815,-0.4496474645
5.866815,-0.4044438228
5.916815,-0.3582292822
5.966815,-0.3111193550
6.016815,-0.2632317914
6.066815,-0.2146862854
6.116815,-0.1656041754
6.166815,-0.1161081413
6.216815,-0.0663218974
6.266815,-0.0163698832
