X,Result_F
-6.283185,NaN
-6.233185,19.0609380076
-6.183185,9.1274912870
-6.133185,5.8669157797
-6.083185,4.2797919742
-6.033185,3.3667157932
-5.983185,2.7949937691
-5.933185,2.4224871834
-5.883185,2.1786075707
-5.833185,2.0246890946
-5.783185,1.9381868597
-5.733185,1.9055562927
-5.683185,1.9187728474
-5.633185,1.9735641564
-5.583185,2.0685444979
-5.533185,2.2048980532
-5.483185,2.3864727184
-5.433185,2.6202737645
-5.383185,2.9174563106
-5.333185,3.2950570415
-5.283185,3.7789432197
-5.233185,4.4089138527
-5.183185,5.2478416403
-5.133185,6.3988844755
-5.083185,8.0399893302
-5.033185,10.4987516062
-4.983185,14.4321269328
-4.933185,21.3197739238
-4.883185,35.0976676297
-4.833185,69.3571633742
-4.783185,200.3469250403
-4.733185,2313.0402072963
-4.683185,1173.3657648362
-4.633185,160.2375729772
-4.583185,60.7273963202
-4.533185,31.9550616809
-4.483185,19.8406483159
-4.433185,13.6210221766
-4.383185,10.0063355667
-4.333185,7.7184920772
-4.283185,6.1772183184
-4.233185,5.0884411193
-4.183185,4.2904647778
-4.133185,3.6886704934
-4.083185,3.2249745789
-4.033185,2.8624158536
-3.983185,2.5768935235
-3.933185,2.3525245948
-3.883185,2.1789484019
-3.833185,2.0497443229
-3.783185,1.9615353762
-3.733185,1.9135656008
-3.683185,1.9076715589
-3.633185,1.9486774298
-3.583185,2.0453793662
-3.533185,2.2125260496
-3.483185,2.4747284232
-3.433185,2.8745470945
-3.383185,3.4907557781
-3.333185,4.4853243003
-3.283185,6.2500697509
-3.233185,10.0337886424
-3.183185,23.0930225317
-3.133185,-119.9407917721
-3.083185,-18.1860385521
-3.033185,-10.3403302931
-2.983185,-7.4762047058
-2.933185,-6.0065535319
-2.883185,-5.1213576255
-2.833185,-4.5366522850
-2.783185,-4.1277177312
-2.733185,-3.8317446189
-2.683185,-3.6142365990
-2.633185,-3.4552847769
-2.583185,-3.3432762713
-2.533185,-3.2717844191
-2.483185,-3.2379832942
-2.433185,-3.2418823136
-2.383185,-3.2860745951
-2.333185,-3.3758860456
-2.283185,-3.5199328645
-2.233185,-3.7312067020
-2.183185,-4.0289589302
-2.133185,-4.4419188076
-2.083185,-5.0138946564
-2.033185,-5.8138942361
-1.983185,-6.9553703508
-1.933185,-8.6352792691
-1.883185,-11.2201343265
-1.833185,-15.4567454818
-1.783185,-23.0665885372
-1.733185,-38.7928793570
-1.683185,-80.0200441830
-1.633185,-257.7508445172
-1.583185,-6516.0503168693
-1.533185,-707.7545863179
-1.483185,-131.1258253539
-1.433185,-53.6678390268
-1.383185,-29.2947051838
-1.333185,-18.6262895919
-1.283185,-13.0406969002
-1.233185,-9.7694703103
-1.183185,-7.7032446910
-1.133185,-6.3272389596
-1.083185,-5.3761339197
-1.033185,-4.7019459770
-0.983185,-4.2169177079
-0.933185,-3.8664338998
-0.883185,-3.6152053091
-0.833185,-3.4398011215
-0.783185,-3.3244294295
-0.733185,-3.2584824967
-0.683185,-3.2351021968
-0.633185,-3.2503838239
