X,Result_LOG10
-6.283185,NaN
-6.233185,NaN
-6.183185,NaN
-6.133185,NaN
-6.083185,NaN
-6.033185,NaN
-5.983185,NaN
-5.933185,NaN
-5.883185,NaN
-5.833185,NaN
-5.783185,NaN
-5.733185,NaN
-5.683185,NaN
-5.633185,NaN
-5.583185,NaN
-5.533185,NaN
-5.483185,NaN
-5.433185,NaN
-5.383185,NaN
-5.333185,NaN
-5.283185,NaN
-5.233185,NaN
-5.183185,NaN
-5.133185,NaN
-5.083185,NaN
-5.033185,NaN
-4.983185,NaN
-4.933185,NaN
-4.883185,NaN
-4.833185,NaN
-4.783185,NaN
-4.733185,NaN
-4.683185,NaN
-4.633185,NaN
-4.583185,NaN
-4.533185,NaN
-4.483185,NaN
-4.433185,NaN
-4.383185,NaN
-4.333185,NaN
-4.283185,NaN
-4.233185,NaN
-4.183185,NaN
-4.133185,NaN
-4.083185,NaN
-4.033185,NaN
-3.983185,NaN
-3.933185,NaN
-3.883185,NaN
-3.833185,NaN
-3.783185,NaN
-3.733185,NaN
-3.683185,NaN
-3.633185,NaN
-3.583185,NaN
-3.533185,NaN
-3.483185,NaN
-3.433185,NaN
-3.383185,NaN
-3.333185,NaN
-3.283185,NaN
-3.233185,NaN
-3.183185,NaN
-3.133185,NaN
-3.083185,NaN
-3.033185,NaN
-2.983185,NaN
-2.933185,NaN
-2.883185,NaN
-2.833185,NaN
-2.783185,NaN
-2.733185,NaN
-2.683185,NaN
-2.633185,NaN
-2.583185,NaN
-2.533185,NaN
-2.483185,NaN
-2.433185,NaN
-2.383185,NaN
-2.333185,NaN
-2.283185,NaN
-2.233185,NaN
-2.183185,NaN
-2.133185,NaN
-2.083185,NaN
-2.033185,NaN
-1.983185,NaN
-1.933185,NaN
-1.883185,NaN
-1.833185,NaN
-1.783185,NaN
-1.733185,NaN
-1.683185,NaN
-1.633185,NaN
-1.583185,NaN
-1.533185,NaN
-1.483185,NaN
-1.433185,NaN
-1.383185,NaN
-1.333185,NaN
-1.283185,NaN
-1.233185,NaN
-1.183185,NaN
-1.133185,NaN
-1.083185,NaN
-1.033185,NaN
-0.983185,NaN
-0.933185,NaN
-0.883185,NaN
-0.833185,NaN
-0.783185,NaN
-0.733185,NaN
-0.683185,NaN
-0.633185,NaN
-0.583185,NaN
-0.533185,NaN
-0.483185,NaN
-0.433185,NaN
-0.383185,NaN
-0.333185,NaN
-0.283185,NaN
-0.233185,NaN
-0.183185,NaN
-0.133185,NaN
-0.083185,NaN
-0.033185,NaN
0.016815,-1.7743110622
0.066815,-1.1751280239
0.116815,-0.9325025287
0.166815,-0.7777656999
0.216815,-0.6639112904
0.266815,-0.5737902586
0.316815,-0.4991946855
0.366815,-0.4355532769
0.416815,-0.3800569805
0.466815,-0.3308554832
0.516815,-0.2866651480
0.566815,-0.2465589006
0.616815,-0.2098452897
0.666815,-0.1759948393
0.716815,-0.1445931014
0.766815,-0.1153095743
0.816815,-0.0878764588
0.866815,-0.0620737358
0.916815,-0.0377184353
0.966815,-0.0146567582
1.016815,0.0072418131
1.066815,0.0280889884
1.116815,0.0479811189
1.166815,0.0670018892
1.216815,0.0852244451
1.266815,0.1027130918
1.316815,0.1195246637
1.366815,0.1357096387
1.416815,0.1513130520
1.466815,0.1663752516
1.516815,0.1809325269
1.566815,0.1950176355
1.616815,0.2086602472
1.666815,0.2218873201
1.716815,0.2347234214
1.766815,0.2471910022
1.816815,0.2593106334
1.866815,0.2711012104
1.916815,0.2825801297
1.966815,0.2937634440
2.016815,0.3046659966
2.066815,0.3153015402
2.116815,0.3256828413
2.166815,0.3358217718
2.216815,0.3457293912
2.266815,0.3554160189
2.316815,0.3648912987
2.366815,0.3741642566
2.416815,0.3832433525
2.466815,0.3921365265
2.516815,0.4008512406
2.566815,0.4093945166
2.616815,0.4177729696
2.666815,0.4259928392
2.716815,0.4342944819
2.766815,0.4419800733
2.816815,0.4497582774
2.866815,0.4573996216
2.916815,0.4649088390
2.966815,0.4722904211
3.016815,0.4795486346
3.066815,0.4866875353
3.116815,0.4937109825
3.166815,0.5006226512
3.216815,0.5074260437
3.266815,0.5141245002
3.316815,0.5207212086
3.366815,0.5272192138
3.416815,0.5336214260
3.466815,0.5399306285
3.516815,0.5461494852
3.566815,0.5522805470
3.616815,0.5583262583
3.666815,0.5642889629
3.716815,0.5701709093
3.766815,0.5759742558
3.816815,0.5817010754
3.866815,0.5873533601
3.916815,0.5929330253
3.966815,0.5984419132
4.016815,0.6038817969
4.066815,0.6092543839
4.116815,0.6145613189
4.166815,0.6198041869
4.216815,0.6249845164
4.266815,0.6301037819
4.316815,0.6351634062
4.366815,0.6401647629
4.416815,0.6451091788
4.466815,0.6499979360
4.516815,0.6548322735
4.566815,0.6596133896
4.616815,0.6643424434
4.666815,0.6690205565
4.716815,0.6736488147
4.766815,0.6782282693
4.816815,0.6827599389
4.866815,0.6872448105
4.916815,0.6916838407
4.966815,0.6960779572
5.016815,0.7004280597
5.066815,0.7047350213
5.116815,0.7089996891
5.166815,0.7132228859
5.216815,0.7174054104
5.266815,0.7215480384
5.316815,0.7256515241
5.366815,0.7297166001
5.416815,0.7337439788
5.466815,0.7377343530
5.516815,0.7416883965
5.566815,0.7456067648
5.616815,0.7494900961
5.666815,0.7533390113
5.716815,0.7571541150
5.766815,0.7609359963
5.816815,0.7646852286
5.866815,0.7684023710
5.916815,0.7720879679
5.966815,0.7757425505
6.016815,0.7793666362
6.066815,0.7829607299
6.116815,0.7865253239
6.166815,0.7900608985
6.216815,0.7935679224
6.266815,0.7970468530
